can_id,can_nam,spe_id,spe_nam,ele_typ,can_off_sta,can_off_dis,can_off,can_par_aff,exp_amo,exp_dat,agg_amo,sup_opp,pur,pay,file_num,amn_ind,tra_id,ima_num,rec_dat,prev_file_num
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$862.20",11/02/2015,"$2,195,793.60",Support,Digital Advertising - Twitter,The Prosper Group Corporation,1034584,N,SE.5705,201512019004123345,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$868.06",11/02/2015,"$2,190,444.69",Support,Digital Advertising - Twitter,The Prosper Group Corporation,1034584,N,SE.5698,201512019004123342,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$882.94",11/02/2015,"$2,194,072.20",Support,Digital Advertising - Twitter,The Prosper Group Corporation,1034584,N,SE.5703,201512019004123344,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$909.02",11/02/2015,"$2,193,189.26",Support,Digital Advertising - Twitter,The Prosper Group Corporation,1034584,N,SE.5702,201512019004123344,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$916.79",11/02/2015,"$2,192,280.24",Support,Digital Advertising - Twitter,The Prosper Group Corporation,1034584,N,SE.5701,201512019004123343,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$918.76",11/02/2015,"$2,191,363.45",Support,Digital Advertising - Twitter,The Prosper Group Corporation,1034584,N,SE.5700,201512019004123343,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$1,725.00",09/09/2015,"$2,502,982.50",Support,Video Production - Shipping,Chatham Light Media LLC,1024429,N,SE.4790,201509109001633207,09/10/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$15,950.00",09/09/2015,"$2,518,932.50",Support,Video Production,Chatham Light Media LLC,1024429,N,SE.4792,201509109001633207,09/10/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$687.93", ,"$14,258.91",Support,Digital Advertising - Facebook/Google,The Prosper Group Corporation,1024429,N,SE.4804,201509109001633209,09/10/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$849.90", ,"$17,681.69",Support,Digital Advertising - Facebook/Google/Twitter,The Prosper Group Corporation,1024429,N,SE.4808,201509109001633211,09/10/2015, 
